#,Name,Hit Points,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
632,Zorua,40,65,40,80,40,65,0
633,Zoroark,60,105,60,120,60,105,0
634,Minccino,55,50,40,40,40,75,0
635,Cinccino,75,95,60,65,60,115,0
636,Gothita,45,30,50,55,65,45,0
637,Gothorita,60,45,70,75,85,55,0
638,Gothitelle,70,55,95,95,110,65,0
639,Solosis,45,30,40,105,50,20,0
640,Duosion,65,40,50,125,60,30,0
641,Reuniclus,110,65,75,125,85,30,0
642,Ducklett,62,44,50,44,50,55,0
643,Swanna,75,87,63,87,63,98,0
644,Vanillite,36,50,50,65,60,44,0
645,Vanillish,51,65,65,80,75,59,0
646,Vanilluxe,71,95,85,110,95,79,0
647,Deerling,60,60,50,40,50,75,0
648,Sawsbuck,80,100,70,60,70,95,0
649,Emolga,55,75,60,75,60,103,0
650,Karrablast,50,75,45,40,45,60,0
651,Escavalier,70,135,105,60,105,20,0
652,Foongus,69,55,45,55,55,15,0
653,Amoonguss,114,85,70,85,80,30,0
654,Frillish,55,40,50,65,85,40,0
655,Jellicent,100,60,70,85,105,60,0
656,Alomomola,165,75,80,40,45,65,0
657,Joltik,50,47,50,57,50,65,0
658,Galvantula,70,77,60,97,60,108,0
659,Ferroseed,44,50,91,24,86,10,0
660,Ferrothorn,74,94,131,54,116,20,0
661,Klink,40,55,70,45,60,30,0
662,Klang,60,80,95,70,85,50,0
663,Klinklang,60,100,115,70,85,90,0
664,Tynamo,35,55,40,45,40,60,0
665,Eelektrik,65,85,70,75,70,40,0
666,Eelektross,85,115,80,105,80,50,0
667,Elgyem,55,55,55,85,55,30,0
668,Beheeyem,75,75,75,125,95,40,0
669,Litwick,50,30,55,65,55,20,0
670,Lampent,60,40,60,95,60,55,0
671,Chandelure,60,55,90,145,90,80,0
672,Axew,46,87,60,30,40,57,0
673,Fraxure,66,117,70,40,50,67,0
674,Haxorus,76,147,90,60,70,97,0
675,Cubchoo,55,70,40,60,40,40,0
676,Beartic,95,110,80,70,80,50,0
677,Cryogonal,70,50,30,95,135,105,0
678,Shelmet,50,40,85,40,65,25,0
679,Accelgor,80,70,40,100,60,145,0
680,Stunfisk,109,66,84,81,99,32,0
681,Mienfoo,45,85,50,55,50,65,0
682,Mienshao,65,125,60,95,60,105,0
683,Druddigon,77,120,90,60,90,48,0
684,Golett,59,74,50,35,50,35,0
685,Golurk,89,124,80,55,80,55,0
686,Pawniard,45,85,70,40,40,60,0
687,Bisharp,65,125,100,60,70,70,0
688,Bouffalant,95,110,95,40,95,55,0
689,Rufflet,70,83,50,37,50,60,0
690,Braviary,100,123,75,57,75,80,0
691,Vullaby,70,55,75,45,65,60,0
692,Mandibuzz,110,65,105,55,95,80,0
693,Heatmor,85,97,66,105,66,65,0
694,Durant,58,109,112,48,48,109,0
695,Deino,52,65,50,45,50,38,0
696,Zweilous,72,85,70,65,70,58,0
697,Hydreigon,92,105,90,125,90,98,0
698,Larvesta,55,85,55,50,55,60,0
699,Volcarona,85,60,65,135,105,100,0
700,Cobalion,91,90,129,90,72,108,1
701,Terrakion,91,129,90,72,90,108,1
702,Virizion,91,90,72,90,129,108,1
703,Tornadus Incarnate Forme,79,115,70,125,80,111,1
704,Tornadus Therian Forme,79,100,80,110,90,121,1
705,Thundurus Incarnate Forme,79,115,70,125,80,111,1
706,Thundurus Therian Forme,79,105,70,145,80,101,1
707,Reshiram,100,120,100,150,120,90,1
708,Zekrom,100,150,120,120,100,90,1
709,Landorus Incarnate Forme,89,125,90,115,80,101,1
710,Landorus Therian Forme,89,145,90,105,80,91,1
711,Kyurem,125,130,90,130,90,95,1
712,Kyurem Black Kyurem,125,170,100,120,90,95,1
713,Kyurem White Kyurem,125,120,90,170,100,95,1
714,Keldeo Ordinary Forme,91,72,90,129,90,108,0
715,Keldeo Resolute Forme,91,72,90,129,90,108,0
716,Meloetta Aria Forme,100,77,77,128,128,90,0
717,Meloetta Pirouette Forme,100,128,90,77,77,128,0
718,Genesect,71,120,95,120,95,99,0
719,Chespin,56,61,65,48,45,38,0
720,Quilladin,61,78,95,56,58,57,0
721,Chesnaught,88,107,122,74,75,64,0
722,Fennekin,40,45,40,62,60,60,0
723,Braixen,59,59,58,90,70,73,0
724,Delphox,75,69,72,114,100,104,0
725,Froakie,41,56,40,62,44,71,0
726,Frogadier,54,63,52,83,56,97,0
727,Greninja,72,95,67,103,71,122,0
728,Bunnelby,38,36,38,32,36,57,0
729,Diggersby,85,56,77,50,77,78,0
730,Fletchling,45,50,43,40,38,62,0
731,Fletchinder,62,73,55,56,52,84,0
732,Talonflame,78,81,71,74,69,126,0
733,Scatterbug,38,35,40,27,25,35,0
734,Spewpa,45,22,60,27,30,29,0
735,Vivillon,80,52,50,90,50,89,0
736,Litleo,62,50,58,73,54,72,0
737,Pyroar,86,68,72,109,66,106,0
738,Flabébé,44,38,39,61,79,42,0
739,Floette,54,45,47,75,98,52,0
740,Florges,78,65,68,112,154,75,0
741,Skiddo,66,65,48,62,57,52,0
742,Gogoat,123,100,62,97,81,68,0
743,Pancham,67,82,62,46,48,43,0
744,Pangoro,95,124,78,69,71,58,0
745,Furfrou,75,80,60,65,90,102,0
746,Espurr,62,48,54,63,60,68,0
747,Meowstic Male,74,48,76,83,81,104,0
748,Meowstic Female,74,48,76,83,81,104,0
749,Honedge,45,80,100,35,37,28,0
750,Doublade,59,110,150,45,49,35,0
751,Aegislash Blade Forme,60,150,50,150,50,60,0
752,Aegislash Shield Forme,60,50,150,50,150,60,0
753,Spritzee,78,52,60,63,65,23,0
754,Aromatisse,101,72,72,99,89,29,0
755,Swirlix,62,48,66,59,57,49,0
756,Slurpuff,82,80,86,85,75,72,0
757,Inkay,53,54,53,37,46,45,0
758,Malamar,86,92,88,68,75,73,0
759,Binacle,42,52,67,39,56,50,0
760,Barbaracle,72,105,115,54,86,68,0
761,Skrelp,50,60,60,60,60,30,0
762,Dragalge,65,75,90,97,123,44,0
763,Clauncher,50,53,62,58,63,44,0
764,Clawitzer,71,73,88,120,89,59,0
765,Helioptile,44,38,33,61,43,70,0
766,Heliolisk,62,55,52,109,94,109,0
767,Tyrunt,58,89,77,45,45,48,0
768,Tyrantrum,82,121,119,69,59,71,0
769,Amaura,77,59,50,67,63,46,0
770,Aurorus,123,77,72,99,92,58,0
771,Sylveon,95,65,65,110,130,60,0
772,Hawlucha,78,92,75,74,63,118,0
773,Dedenne,67,58,57,81,67,101,0
774,Carbink,50,50,150,50,150,50,0
775,Goomy,45,50,35,55,75,40,0
776,Sliggoo,68,75,53,83,113,60,0
777,Goodra,90,100,70,110,150,80,0
778,Klefki,57,80,91,80,87,75,0
779,Phantump,43,70,48,50,60,38,0
780,Trevenant,85,110,76,65,82,56,0
781,Pumpkaboo Average Size,49,66,70,44,55,51,0
782,Pumpkaboo Small Size,44,66,70,44,55,56,0
783,Pumpkaboo Large Size,54,66,70,44,55,46,0
784,Pumpkaboo Super Size,59,66,70,44,55,41,0
785,Gourgeist Average Size,65,90,122,58,75,84,0
786,Gourgeist Small Size,55,85,122,58,75,99,0
787,Gourgeist Large Size,75,95,122,58,75,69,0
788,Gourgeist Super Size,85,100,122,58,75,54,0
789,Bergmite,55,69,85,32,35,28,0
790,Avalugg,95,117,184,44,46,28,0
791,Noibat,40,30,35,45,40,55,0
792,Noivern,85,70,80,97,80,123,0
793,Xerneas,126,131,95,131,98,99,1
794,Yveltal,126,131,95,131,98,99,1
795,Zygarde Half Forme,108,100,121,81,95,95,1
796,Diancie,50,100,150,100,150,50,1
797,Mega Diancie,50,160,110,160,110,110,1
798,Hoopa Confined,80,110,60,150,130,70,1
799,Hoopa Unbound,80,160,60,170,130,80,1
800,Volcanion,80,110,120,130,90,70,1
